rating,comment
5,204 3842 3828 18282 4506 138 138 877 153 609 1383 14598 5952 3828 18282 10272 1671 4753 22363 2899 54536 8574 23445 3662 1664
3,1319 63 139 2660 3398 38 5227 367 922
5,61422 1 125 5942 1205 413 5726 4 442 4472 2235 30425 18 718 242 3298 37 157 542 2757 35039 10029 3961 2857 5791 8098 11 1320 820 29 5788 65 2844 328 1236 3298 1598 2488 4687 29056 7302 41 42570 9671 22987 5482 560 57169
3,37498 609 1633 1263 1444 99 69999 40 139 25520 823 577 160 850 3663 1000 165 943 577 12676 3456 10 8479 966 23739 4309 1996 563 1003 5138 1003 563 1003 105 273 197 372 3004 1320
3,881 41 6 44 19 22425 649 288 22425 10466 688 5259 36290 34517 17679 2408 4 450 1312 3415 87 729 81 142
3,550 10 820 139 28179 599 5974 63 2353 779 63 929 1415 26796 65 63 308 2248 8 4043 110 20 254 1450 727
3,3515 7 84 2 390 226 123 685 710 37 226 123 2156 7044 780 25520 120 7212 2591 71 10471 25 30 621 10471 296 11746 12170 3697 2 10471 2733 2 25520 2323 13 2097
4,23649 1403 401 279 2277 62366 353 598 29099 282 8479 8920 301 4309 310 1205 26 553 168 239 34184 293 14801 447 296 70 328 2725 28156 16459 1376 138 409 689 23428 385 933 308 1821 552 95 36 10156 2000 69999 18634
2,2517 1866
4,63 4513 29911 3104 63 224 139 691 5368
3,242
3,1105 5298 27586 1777 27586 1207 43195 27010 369 1515 293 14801 3828 43195 406 1699 621 487 1017 1038 413 21767 4224 1201 8479 8920 173 4309 6518 1269 24156
4,69999 5819 44911 8479 6333 8156 1076 13147 2013 3970 3043 58494 40428 878 69999 69999 129 46684 39 1336 55629 69999 290 1094 57025 69999 338 14732 31512 11600 14414 1319 13448 5 25020 69999 53105 13148 1189 4078 69999 3178 69999 69999 521 360 4331 12205 25688 5528 2305
4,139 4691 4 2838
4,19455 69999 6318 2197
2,244 2451 27 7855 4109 7855 6228 48 868 95 1108 4632 332 56
4,69999 744 69999 744
5,9 139 1277 1 1563
4,895 2851 569 2517 31 4117 691 820 139 661
5,139 43 12947
5,69999 820 23 716 33599 774 27586 232
4,44 1458 500 238 3593 4 311 784
3,5 20 1 18304 514 99 17794 5013
4,1 139 27 13977 238 44407 8479 8920 54 2638
3,3221 63 3221 587
4,6619 609 197 6 12716 29 34465 8851 69999 633 12531 69999 130 5 174 12156 437 56 232 2839 31698 69999 136 3525 6501 63857 1838 49103 3168 1793 9342 170 2277 9979 4870
5,69999
3,3043 16951 16951 63 69999 879 69999 69999 2153 4033 337 69999 41087 5 64157 1391 27623 13048
5,125 7 93 3 18 32900 193 617 1468 1699 104 4054 132 413 489 10337 11 1724
3,8 89 229
4,298 6460 63 6 5364
5,139 13 507
3,303 146 705 10840 475 1320
3,63 469 9279 65 1468 425 4386 10749 65 2394 1319 63 14 5663 25829 50 1946
4,60 1031 2427
4,90 949 1 553 1946
5,18975 609 4927 553 168 94 14917 3840 317 2277 69999 834 50978
3,40 1145 291 5892 39 1315
4,1319 63 33967 46 1317 3828 227 193 47730 2168 192 2168 192 431 6327 175 1205 175 3309 93
4,12 2834 413 355 139 1 543 413 4575 546
5,1734
2,1319 63 2438 1 500 8 1 8949 6 52
4,404 3211 0 33 1469 91 57511 7 164 684 25 3249 1945 143 1 0 11 2 694 637 65 63 1317 553 43 7476
4,63 258 303 22 986 106 1208 661
4,56 1133 12878 65 656
3,30 1636
2,193 77 0
5,4173 178 525 598 10471 25520 11 2747 44732
4,11239 1600 173 237 218 2 69999 10365 189
4,58194 1891 9907 43217 13850 62799 11472 69999 38942 25079 57936 1891 15332 69999 15870 58439 69999 7728 1713 51567 1713 16995 58817 27229 3465 69999 7728 3643 69999 26320 69999 9898 69999 1713 69999 3465 69999 1713 69999 7728 26320 69999 9898 3465 16089 1891 69857 23339 57974 5173 69999
5,29 551 56 1589
4,526 41291 48953 21354 48953
4,174 295 15815 25 3022 14788 37165 2680 65 656 1647 6366 7103 509 364 2423 7363 11887 1392 4067 14057 364 14057 10229 364 49621 2390 368 14 709 15768 158 32215 986 15107 19 63 139 60 36976 20397 413 277 1544
3,33843 22754 21960
3,1319 63 2451 192 175
5,970 1451 197 922 7564 820 146 2413 14835 1397 197 1035 887 4704
4,820 6 522
4,29 4 24030 274 375 10 4426 1319 63 15 25 3842 1090 212 115 69 28 42386 1317 3828 18004 11737 18004 11687 2193 40595 27136 11687
4,13218 298 881 41 6 91 96 8 145 508
4,1045 820 264 17572 2923 0 558 12433 438 24 0 426 569 570 5
4,820 139 1055 1978 740 18779 242 12 69999 27586 413 1 72 2671 4 500 929 3611 8 2757 136
4,509 13970 58 2 275
4,1319 63 242 242
5,223 444 642 16298 653 9 296 1009 2074 24639 1468 69999 9 1111 5 3350 6789
3,431 1051
4,193 63 1002 37424 7883 71 63 6931 54345 892 7545 63 17327 63 69999 19402 1031 7545 1331 7545 63 37908 9493 4896 903 5227 4043 22 56 473 1510 44442 3318 2098 296 69999 10471 104 277 69999 949 518
5,3043 3475 139 404 8479 8920 249 2182 197 1038 413 5112 42366 296 70 2297 277 4989 69999 59245
5,44 7 1377 720
5,447 18505 33967 46 496 1319 63 2000 1773 134 35830 20676 1754 2304 10646 2168 10278 69999
4,193 948 1324
4,74 118 7916 262 660 8 671 882 50 682 118 40 1605 5 477 1771 12122 15346 12122 15346 42915 25939 42915 25939 26 4623 35609 2789 128 15541 38 10471 3427 4554 25 15371 54 494 10471 15
4,6808 63 15 5 7 1555 146 19540 11
4,6864 139 30819 4529 1319 63 3525 5620 6110 95 489 398 1317 149 1763 177 4945 90 6949 21038 1468 807
4,1207 3043 1320 742 259 94 1693 139 25451 10539 139 243 8097 21426
4,12270 1693 63 605 3945 662 244 20243 227 19 1317 63 38 282
4,820 1059 1059 1795 250
5,820 2800
1,48358 172 1195 59 89 3 2 6242 203 3012 128
5,30611 13 1894 5133 241
3,5 13 69999
3,139 1319 63 621 1319 63 8482
3,180 8 229 1317 10783 114 855 340
3,1045 12156 1894
3,546 1853 59083 17 234
2,551 139 1335 9679 99 1320 5 552 2808 1295 2551 47 5817 16989 84 1256 6363 16494
4,30 13 568
4,329 500 3942 1704 1864 115 4881 288 1090 17679 90 3182
3,1319 63 19 12209 44145 3987 642 947 131 6936 2077 19013
5,553 1073 413 57 242
5,8118 20206 5979 56 10 1612 91 739 81 173 4656 65 63 556 268 10 139 38033 9610 6250 4889 1320 2277 9 136
4,12209 2095 310 7883 10232 1468
3,29 91 4 56 43 5 1403 1458 450 6 691 1927 3 29 7883 2095 8 3232 41393 3165 69999 2095 1317 4 625 33 6 7748 5508 43 3914
5,1319 63 820 6808 63 72 1919 1746 4 964 388 37 2477 23929 634 2290 69999 54162 634 21934 71 768 522
5,496 1492 7866 187 978 15168 8520 15168 242
3,9424 5298 20110